Coded,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
p206,0.0464454807125696,0.0460003622909206,0.3877544082317211,-0.5779078124291736,0.0412832600516749,0.0056808315579529,0.0269222813018448,0.0020763971309097,0.0120678935678346,0.0330751348533611,9.076730655908616,18184.26577444359,0.3044399619237568
p207,0.0456350399519074,0.040562005986524,0.4135836485234075,-0.6933955865040202,0.0445232071738095,0.005023695614057,0.0381768516707161,0.0096982671739348,0.0119241477343886,0.0345065250607419,9.061575244846328,15396.748140169828,0.2978608821982315
p209,0.0476051282051282,0.0466045421245421,0.3452293738008023,-0.5913898831327403,0.0639455782312925,0.0048562532705389,0.0289742782487353,0.0005695472729809,0.0116852677481248,0.0411342229199372,8.918934484563056,19298.913832199545,0.2995639281353567
p210,0.043988069654257,0.0417840907654383,0.3817868655584349,-0.6410023070602364,0.0565545793565514,0.0042012404399216,0.0412302249399532,0.0015084162812085,0.0136299823020036,0.0384638881865874,8.662952389229504,18334.383114215285,0.2919063270336894
p211,0.0452345296143715,0.0445885132707503,0.410454514756534,-0.6623633011413521,0.0492469777807793,0.0050923306544202,0.0284170461862632,0.008281100472074,0.0143503099885189,0.0369368827176335,9.190267224961167,18671.619072060512,0.2969946646856216
p213,0.0469310933742288,0.0457189867902826,0.4052490327977414,-0.5532319194172388,0.0496671430065177,0.0044375274476316,0.0290867789899271,0.0009139831319926,0.0122608692621379,0.0384497961033076,8.711805653340768,18586.083789341606,0.3052176640758426
p214,0.0451776416062708,0.0422575912159009,0.4325484462969299,-0.6063738529969827,0.0606550748079255,0.0039835360353354,0.0404559435752278,0.0005166199679616,0.0119312047031011,0.0361745808578804,8.931847491368316,17151.068462471616,0.3010669072132881
p216,0.0512342540010325,0.0515375980898296,0.4497934950955085,-0.5300826019617965,0.0321373257614868,0.0058975348477026,0.0245013253742901,0.0020494592062467,0.0125232576148683,0.0430554336602994,9.07162183789365,17584.16171915333,0.2953020134228188
p219,0.0483233623098416,0.0468056820624268,0.4143959114465168,-0.5434151840087885,0.0482530508919829,0.0060415828815704,0.0248880530352494,0.003497066333795,0.0128943567453967,0.0360702170849951,9.116721956869583,16072.70065435961,0.3022592123802927
p221,0.0467580009032063,0.0451726448893572,0.4175824175824175,-0.6316445882884238,0.050278488634653,0.0044531085353003,0.0346276105675146,0.0034670553514978,0.0122053590245371,0.0390773897335541,8.868934668071654,18939.306939635702,0.3025741381905765
p222,0.0428930270036555,0.0540765673519122,0.3982351322668133,-0.4967095239966982,0.0502731810856491,0.0048071773908258,0.0182261250849023,0.002002824478401,0.0213336739908022,0.0394245784363822,9.104019594355568,21469.268444636607,0.3043119374238433
p225,0.0425038612961841,0.0418548145063597,0.3841358772461134,-0.6293977639814254,0.0477488390874217,0.0036833333333333,0.040912583737129,0.0020082069508378,0.0116174742580254,0.0347185821724207,9.006490763173833,20462.55776801938,0.288284877851807
p226,0.0462613469966732,0.0437823413417806,0.4002442608247619,-0.5625335572390893,0.0583490767068043,0.0051772945569274,0.026238538041079,0.0025927449937344,0.0123883473592478,0.0309912008854454,9.152768104879492,15490.60681004268,0.30255901379692
p227,0.0504690212511224,0.0511622867404968,0.3934450763244537,-0.5636901376833283,0.0414546542951212,0.006250628554325,0.0310379679826399,0.003146108723436,0.0135464082609997,0.0444512346602813,9.213133867105656,18583.654369949116,0.2942981143370248
p231,0.0528041647701411,0.0524351361705355,0.4230010620543164,-0.5369405628887877,0.0393718707328174,0.0083613829464421,0.0278721206948869,0.00122886694318,0.0122090843574571,0.0484926301016537,8.971581436807766,17453.82825064482,0.2971855560612957
p235,0.0519885639703938,0.0463443122191382,0.4293054454136928,-0.6108214710547185,0.0326956119481892,0.0067535074676182,0.0314862772250859,0.0022858959431998,0.0136370307956648,0.0411637308353158,8.666437252180808,16488.681188871265,0.301579434311393
