Shubham Sharma,Deewane Hum Nahi Hote Deewani Raat Aati Hai
Dev Next Level,Badshah (Patience)
Anku Malik,Yaad me koi banaye Taj Mahal
Gurmeet Bhadana,Jai Siya Ram
Rocky The Monster,Mast Magan
Narci,Dashavatar
DJ Shine India,Tarasti Hai Nigahein (LoFi Mix)
Sanjay S Yadav,I Like Me X Waalian X Kabhi Kabhi
Dj Hk,Dj Hk Theme
Khayek,Yahan Pe
Amritanshu Sinha,Padh Hi Lenge Hum
Jay Kashyap,Saiyyan - Lofi Version
Kavita Seth,Rangi Saari
Kanishk Seth,"Rangisari (From ""Jugjugg Jeeyo"")"
Akanksha Bhandari,Pehli Baarish
Anurag Vashisht,Tum
Kore-G,Bleed
Astrid S,Hurts So Good
One Direction,Night Changes
demxntia,tonight
JVKE,SECRETS
Chris James,Not Angry
Ruth B.,Dandelions
Zach Hood,13 Missed Calls
Fiji Blue,Waves
RealestK,WFM
Alina Baraz,Floating (feat. Khalid) [filous Remix]
HYBS,Ride
keshi,like i need u
Chirag Chauhan,You
Monolink,Return to Oz
Abhijeet Srivastava,Khayaal
Suzonn,Sun Lo Na (Raw)
Vasu Raina,Tu
Montell Fish,Fall in Love with You.
Ali Sethi,Ishq
Kevin Fernando,Windy
Bhuvan Bam,Heer Ranjha
Avanti Nagral,The Long Way
yaeow,The Way I Love You
Udbhav,Dooba
Zenith,Waqt Tham Gaya Kahin (Currious List)
Far East Movement,Rocketeer
Akon,Don't Matter
T-Pain,T-Pain Mashup (with Kurt Hugo Schneider)
Colby O'Donis,Don't Turn Back - Main
Vedo,You Got It
Kardinal Offishall,Dangerous
Ne-Yo,So Sick
Eric Bellinger,G.O.A.T.
Soulja Boy,Kiss Me Thru The Phone
The Kid LAROI,STAY (with Justin Bieber)
Lady Gaga,Hold My Hand
Elton John,Cold Heart - PNAU Remix
blackbear,idfc
Katy Perry,Harleys In Hawaii
AMARIA BB,Slow Motion
Priya Saraiya,"Kalle Kalle (From ""Chandigarh Kare Aashiqui"")"
Alka Yagnik,Agar Tum Saath Ho
Tory Lanez,The Color Violet
Wesley Joseph,The Bloom
Sainté,No Love
Bankrol Hayden,Fuck Love
IDK,Drugstore
03 Greedo,Substance
Lil Tjay,In My Head
Joey Bada$$,Love Is Only a Feeling
S-X,locked out
OG Parker,No Fuss
Lil Wayne,Scared of the Dark (feat. XXXTENTACION)
Vince Staples,THE BEACH
Thouxanbanfauni,DOMINO
Dj Charlie B,Speeding
Quavo,HOTEL LOBBY (Unc & Phew)
Dro Kenji,VANISH
Eli Derby,Lately (with 6LACK)
midwxst,i know you hate me
rei brown,Thinking Bout You
Saba,an Interlude Called “Circus” (feat. Eryn Allen Kane)
Lil Uzi Vert,The Way Life Goes (feat. Oh Wonder)
Sleepy Hallow,Die Young (feat. 347aidan)
Fivio Foreign,World Watching (feat. Lil Tjay & Yung Bleu)
Young Thug,Livin It Up (with Post Malone & A$AP Rocky)
Lil Tecca,Our Time
Jim Jones,Stickup
ilyTOMMY,Worthless
Polo G,Distraction
Westside Gunn,"The Fly who couldn't Fly straight (feat. Tyler, The Creator)"
Kyle Beats Collective,Never Enough
Playboi Carti,Go2DaMoon (feat. Kanye West)
Tems,Higher
Squish,where does your spirit go
Aaron May,Let Go
Trippie Redd,Taking A Walk
DJ Scheme,Trust Nobody (2 My Brothers)
88GLAM,Happy Belated
Papithbk,Changes
Moosa Saleem,If It Was You
Piyush Bhisekar,Tum Aao Baitho Batein Kare
Raghav Kaushik,Koi Jaane Na
Joi Barua,Dil Dhadakne Do
Farhan Akhtar,Aisi Gehraiyaan Aisi Tanhaiyaan
Hasan Raheem,Aisay Kaisay
Giggs,Peligro
Anson Seabra,Keep Your Head Up Princess
Kelsea Ballerini,I Quit Drinking
J Balvin,Otra Noche Sin Ti
HXGO,Ukulele
Jad Saad,Spellstruck
STEVIE,All Night
Lil Late,Superglue
Taha G,Dou Pal
Akanksha Sethi,Raaz Tera Mera
Maanu,pyaar hai asli
Alemam Elghandour,Maybe?
Abdullah Siddiqui,Come Thru
Talal Qureshi,SWEETU
Aftermath,Moho
Lost Stories,Peace Of Mind
VIBIE,Saibo - Lofi Flip
KSW,Muskurane - Lofi Flip
Kedrock,Bheegi Si Bhaagi Si - Lofi Flip
Leon D'souza,Hosanna - Lofi Flip
Deepanshu Ruhela,Tum Tak - Lofi Flip
Silent Ocean,Raanjhanaa - Lofi Flip
Hasu,Kal Ho Naa Ho Is Lofi - Lofi Flip
Jay Kava,Hamari Adhuri Kahani - Lofi Flip
AFKAP,Aaina
Kaifi Khalil,Kana Yaari
Adarsh Rao,Kaari
NAALAYAK,jazba
Oliver Tree,Life Goes On
Otnicka,Where Are You
Dev Raiyani,wait4me
Johnny OTL,With/out You
Stand up Comedy,Uber Driver 🚕 Grandmother👩‍🦳 Stand Up Comedy by Urooj Ashfaq #standup 
Ramil Ganjoo,Daastaan
Osho Jain,Tu Aisa Kaise Hai?
Lofi Sleep Chill & Study,Vaporwave LoFi Chill
Beats De Rap,lofi
Lofi Hip-Hop Beats,Lofi Piano Loft - Lofi Instrumental
LO-FI BEATS,Just Got Out
Eminem,From The D 2 The LBC (with Snoop Dogg)
Lofi Beat Hip Hop Rap Community,grapes
Coffe Lofi,Lofi Summer Evening
"Chillhop Music,LO-FI BEATS,Beats De Rap",Give Yourself a Try
Lo Fi Hip Hop,i forgot to tell you
Beats Instrumental Lofi,Dark Souls
LoFi B.T.S,Life Without Life
DJariium,Heartless LoFi Mashup
Akshit Ravat,Maiyya Mainu (Lofi)
Kritiman Mishra,Tere Sang Yaara LoFi
Shantanu Avinashi,Kina Chir - Lofi Flip
H Dixit,Soulful Love Lofi (Slowed & Reverb)
Deep Joshi,Rangi Saari - Lofi
Papon,Kyon - Lofi Flip
Arijit Anand,Musafir
Soham Patel Śp,Dil Na Jaaneya (lofi)
KASYAP,khoya sa
JalRaj,Jhoom (Lofi)
Shashwat Sachdev,Sha- Dobara
Visual Chinmay,Romantic Lofi Mashup
Purva Mantri,Raanjhan Ve (Unplugged Version)
Jatin Chonkar,Maiyya Mainu Lo-Fi (Ft. Hunter Prince Khalid)
SKY THE SANGEETKAR,Theme Of Sukoon
Semwal,Tishnagi (Lofi)
Jammy Weirdo,Jashne Bahara - Lofi Flip
Yogesh Patel,Tera Ban Jaunga (Lofi) - Yogesh Patel
Tashif,Jaan Nisaar (LoFi Flip)
Tanmaya Bhatnagar,kyun hota hai?
Amartya Bobo Rahut,Noor-Kasauli
Murtuza Gadiwala,Mehfooz
Harshal Rajput,Raabta Lofi Mix - Lo-Fi Version
Swattrex,Mitti di khusbu 360 lofi flip
Gravero,Waalian (Lofi Mix)
Akhil,Duniyaa Lofi Mix
Ekansh Mamgai,Mein Akela Kaafi hu
Mohit Rohilla,Zindagi
Kshitij Vishwakarma,Kaise Bataun Tumhe
Dip Dey,Mere Yaaraa (Lofi)
Tanveer Evan,Maine Royaan (Lofi Remix)
Vancouver Sleep Clinic,Someone To Stay
Rapperiya Baalam,Shoorveer III
David Guetta,Kill Me Slow
Sonny Bass,Never Mine
SP3CTRUM,You've Got That Body
Maciel,Glad You Came
DJSM,I Wanna Be Your Slave
ReMan,Ride It
Belters Only,Make Me Feel Good
Twin Strings,Baarish Ka Asar
Taba Chake,Shaayad
Anumita Nadesan,Khwaab
Himonshu Parikh,Katputli Ke Dhaage
Salman Elahi,Pahadon Mein
Umer Farooq,Teri Ay
Ashwin Adwani,Na Tum Jano Na Hum (ReVibe)
House On The Clouds,Manzil
Ishpreet Singh,Sajna
KMRN,Dil Sitara
Raman,Taaren
Aditya Seal,Kivein Mukhade
Advait,Teri Parchhai
Mohan Kannan,"Chaandaniya (From ""2 States"")"
