,Q1,Q2,Q5,Q6,Q8,Q9,Q10,Q11,Q16,Q17,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,TOTAL
P141,0,4,3,4,3,1,1,3,1,4,3,3,1,2,3,2,4,0,3,45
P142,3,3,3,1,0,2,1,4,0,1,0,0,0,3,2,0,4,0,2,29
P143,2,3,3,2,1,3,1,3,3,2,3,3,1,1,2,3,1,1,3,41
P144,3,2,2,0,3,0,0,3,3,3,3,4,4,3,4,4,4,4,4,53
P145,1,4,3,2,3,2,2,0,2,3,1,1,2,0,3,1,3,1,2,36
P146,3,4,3,2,4,4,1,4,4,4,4,4,4,4,4,2,2,2,4,63
P147,1,1,1,0,4,1,2,0,4,4,1,1,0,2,4,3,1,0,3,33
P148,0,3,4,2,4,4,0,4,1,4,3,4,3,3,1,2,2,2,2,48
P149,1,4,4,4,3,3,3,3,1,4,3,3,2,3,3,4,3,3,4,58
P150,2,3,4,4,1,2,3,1,3,1,2,1,0,1,1,0,4,3,4,40
P151,3,1,1,1,2,0,3,3,3,2,3,2,3,3,3,1,3,1,3,41
P152,1,2,3,2,4,3,1,2,1,4,2,1,1,2,2,2,3,1,0,37
P153,2,1,2,1,4,0,4,2,0,2,3,3,2,3,3,2,3,0,0,37
P154,0,1,2,1,2,3,1,3,1,3,1,3,1,2,1,2,1,2,1,31
P155,1,3,4,3,4,4,0,2,1,1,3,3,1,2,2,1,2,2,1,40
P156,0,4,0,0,0,4,0,4,0,4,2,2,0,0,4,2,4,0,0,30
P157,4,0,2,0,4,2,4,4,1,4,4,4,1,1,0,3,1,3,0,42
P158,1,3,2,4,2,2,1,3,0,3,3,4,2,1,2,3,2,0,0,38
P159,1,4,4,2,4,2,0,3,1,3,3,3,2,3,3,2,3,0,3,46
P160,3,1,2,1,4,2,2,3,0,4,3,3,2,4,3,1,2,3,1,44
P161,3,4,4,3,4,2,1,4,2,4,2,1,4,2,4,3,3,2,3,55
P162,0,1,4,3,1,3,0,2,0,3,3,3,0,0,3,0,4,0,0,30
P163,1,3,2,3,4,2,4,3,1,1,3,3,3,3,1,1,0,2,1,41
P164,3,5,5,5,1,5,5,5,1,5,5,5,4,5,1,5,5,1,5,76
P165,3,4,5,5,5,4,1,4,3,1,5,4,3,3,3,3,4,2,1,63
P166,3,3,3,4,5,3,2,4,3,4,4,3,4,5,2,4,2,3,3,64
P167,2,4,4,3,4,3,1,3,3,4,2,3,3,2,3,2,2,1,1,50
P168,1,4,4,4,4,3,2,3,2,4,4,5,3,3,4,3,5,2,4,64
P169,4,0,2,2,1,3,1,2,1,0,1,3,1,3,2,2,1,3,3,35
P170,2,0,1,2,1,3,3,1,4,1,2,0,3,2,0,1,1,4,3,34
P171,4,0,0,0,0,0,1,1,1,1,2,3,3,2,2,2,2,3,2,29
P172,2,0,1,3,1,2,3,1,3,1,2,3,2,1,2,2,2,3,1,35
P173,3,1,0,2,1,4,0,3,2,1,3,0,0,0,2,1,3,1,1,28
P174,3,2,2,2,1,2,3,2,1,2,2,2,2,1,1,1,2,2,2,35
P175,2,3,3,2,1,1,1,2,1,2,2,2,1,2,1,1,1,1,2,31
P176,3,1,0,1,0,0,3,3,4,4,1,1,1,1,1,1,3,1,1,30
P177,2,1,1,1,1,3,1,1,3,1,1,2,1,2,1,1,1,3,2,29
P178,4,0,1,2,0,1,3,2,3,1,2,2,2,1,2,1,1,2,4,34
P179,4,1,1,1,4,3,2,0,3,2,2,2,3,1,2,0,0,3,2,36
P180,4,0,0,0,1,1,2,1,4,1,0,0,1,0,1,1,3,3,1,24
P181,4,0,0,0,2,3,3,1,3,2,3,1,3,4,2,3,0,3,3,40
P182,2,0,2,1,3,2,1,1,1,1,0,0,1,1,2,2,1,2,1,24
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
V0RI0N24 OF TOT0L IT4MS,1.3155933606835,1.40328954796944,1.41450562685837,1.4796943806692,1.63039632654597,1.73262072339945,1.50792276713463,1.69490759908164,1.44747638224999,1.74895554970078,1.31822801008694,1.2799126801912,1.05566637810983,1.27215928337536,1.24656554631337,1.35165041966201,1.31228123000489,1.51560088825323,1.56663781098272,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total ques,19,,,,,,,,,,,,,,,,,,,
sum of variation,31,,,,,,,,,,,,,,,,,,,
variation of sum,98.087093981708,,,,,,,,,,,,,,,,,,,
CA,0.721951807152891,,,,,,,,,,,,,,,,,,,
